ID,Iso_ID,reference,DOI,site_id,date,latlong,latlong_n,year,site_description,catchment_name,compound,d13C_value_permil,d13C_uncertainty,d13C_uncertainty_unit,dD.CH4_value_permil,dD.CH4_uncertainty,dD.CH4_uncertainty_unit,pub_code_prefix,pub_code_number,F14C_value,F14C_value_uncertainity,F14C_value_uncertainity_unit,D14C_permil_value,D14C_permil_value_uncertainty,D14C_permil_value_uncertaint_unit,radiocarbon_age,radiocarbon_age_uncertainty,pH,latitude,longitude,country,hemisphere,Atm_14CO2,norm_F14C,water_type,method,comment,temperature_celsius,coordinate_flag,uncertainity.flag,watershed_size_exact_km2,watershed_size_indicative_km2,size_class,size_class_multi,catchment_area_km2,dis_m3_pyr,lka_pc_use,ele_mt_uav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,snw_pc_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,pst_pc_use,ire_pc_use,gla_pc_use,prm_pc_use,cly_pc_uav,slt_pc_uav,snd_pc_uav,soc_th_uav,kar_pc_use,ero_kh_uav,urb_pc_use,hft_ix_u09,ele_mt_cav,tmp_dc_cyr,pre_mm_cyr,ari_ix_cav,snw_pc_cyr,wet_pc_cg2,for_pc_cse,crp_pc_cse,pst_pc_cse,ire_pc_cse,gla_pc_cse,prm_pc_cse,cly_pc_cav,slt_pc_cav,snd_pc_cav,soc_th_cav,kar_pc_cse,ero_kh_cav,urb_pc_cse,hft_ix_c09,gwt_cm_cav,tbi_cl_cmj,fmh_cl_cmj,lit_cl_cmj,DIC_conc
510,3097,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Parker,01/04/2000,-28.312528,4,2000,River,Parker River,DIC,-13.8,0.1,permil,NA,NA,,Arizona_AMS,,1.0991,0.006,fraction modern,93,3,permil,modern,NA,,42.720321,-71.032849,USA,N,1.0932,1.0054,River,Filtered through 0.8um and posoned with HgCL13,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,155,large,1000,79.9,1.982,11,35,17,91,1142,119,16,38,100,6,2,1,0,0,6,30,64,83,0,270,0,310,24,91,1145,120,14,38,100,10,2,1,0,0,6,32,62,85,0,266,0,302,66,4,5,8,480
511,3098,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Upper Hudson,01/04/2000,-30.877304,2,2000,River,Hudson River,DIC,-8.1,0.1,permil,NA,NA,,Arizona_AMS,,0.9996,0.006,fraction modern,-6,3,permil,4,49,,42.795274,-73.672578,USA,N,1.0932,0.9144,River,Filtered through 0.8um and posoned with HgCL14,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,10000,large,10000,9017.8,216.698,9,381,46,66,1128,127,23,14,82,15,5,0,0,0,15,40,45,62,43,1047,4,135,14,90,928,92,4,0,33,12,3,0,0,0,16,40,44,12,0,48,100,466,0,4,5,3,456
512,3099,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Mohawk,01/04/2000,-31.018444,2,2000,River,Mohawk River,DIC,-9.7,0.1,permil,NA,NA,,Arizona_AMS,,0.9523,0.006,fraction modern,-53,3,permil,393,51,,42.778549,-73.796993,USA,N,1.0932,0.8711,River,Filtered through 0.8um and posoned with HgCL15,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,9000,large,10000,8969.8,216.939,9,383,46,66,1129,127,23,14,82,15,5,0,0,0,15,40,45,62,43,1050,4,134,81,86,951,97,9,0,42,11,2,0,0,0,16,39,44,37,0,649,34,372,150,4,5,3,1307
513,3100,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Tidal Hudson Above Albany,01/04/2000,-31.048596,4,2000,River,Hudson River,DIC,-10,0.1,permil,NA,NA,,Arizona_AMS,,0.9553,0.006,fraction modern,-50,3,permil,367,51,,42.674152,-73.722748,USA,N,1.0932,0.8739,River,Filtered through 0.8um and posoned with HgCL16,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,19000,large,100000,21364,473.339,18,401,59,63,1120,127,25,21,88,10,3,0,0,0,13,38,49,75,30,747,3,112,11,90,930,93,4,0,0,10,3,0,0,0,17,41,42,17,0,73,100,406,16,4,5,3,1372
514,3101,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Upper Hudson,01/07/2000,-30.877304,2,2000,River,Hudson River,DIC,-10.2,0.1,permil,NA,NA,,Arizona_AMS,,0.9945,0.006,fraction modern,-11,3,permil,44,49,,42.795274,-73.672578,USA,N,1.0932,0.9098,River,Filtered through 0.8um and posoned with HgCL17,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,10000,large,10000,9017.8,216.698,9,381,46,66,1128,127,23,14,82,15,5,0,0,0,15,40,45,62,43,1047,4,135,14,90,928,92,4,0,33,12,3,0,0,0,16,40,44,12,0,48,100,466,0,4,5,3,632
515,3102,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Mohawk,01/07/2000,-31.018444,2,2000,River,Mohawk River,DIC,-11.1,0.1,permil,NA,NA,,Arizona_AMS,,0.9473,0.006,fraction modern,-58,3,permil,435,51,,42.778549,-73.796993,USA,N,1.0932,0.8665,River,Filtered through 0.8um and posoned with HgCL18,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,9000,large,10000,8969.8,216.939,9,383,46,66,1129,127,23,14,82,15,5,0,0,0,15,40,45,62,43,1050,4,134,81,86,951,97,9,0,42,11,2,0,0,0,16,39,44,37,0,649,34,372,150,4,5,3,1470
516,3103,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Tidal Hudson Above Albany,01/07/2000,-31.048596,4,2000,River,Hudson River,DIC,-11.1,0.1,permil,NA,NA,,Arizona_AMS,,0.9473,0.006,fraction modern,-58,3,permil,435,51,,42.674152,-73.722748,USA,N,1.0932,0.8665,River,Filtered through 0.8um and posoned with HgCL19,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,19000,large,100000,21364,473.339,18,401,59,63,1120,127,25,21,88,10,3,0,0,0,13,38,49,75,30,747,3,112,11,90,930,93,4,0,0,10,3,0,0,0,17,41,42,17,0,73,100,406,16,4,5,3,756
517,3104,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Tidal Hudson Below Albany,01/07/2000,-31.219116,1,2000,River,Hudson River,DIC,-10.5,0.1,permil,NA,NA,,Arizona_AMS,,0.9533,0.006,fraction modern,-52,3,permil,384,51,,42.53774,-73.756856,USA,N,1.0932,0.8721,River,Filtered through 0.8um and posoned with HgCL20,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,19500,large,100000,22115.3,483.196,18,393,58,64,1115,126,24,21,88,10,3,0,0,0,13,38,49,74,30,741,4,119,30,89,944,94,3,0,77,9,4,0,0,0,17,42,41,30,0,403,19,432,130,4,5,3,1303
518,3105,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Tidal Hudson Above Albany,01/06/1998,-31.048596,4,1998,River,Hudson River,DIC,-7.6,0.1,permil,NA,NA,,Arizona_AMS,,0.9422,0.006,fraction modern,-63,3,permil,478,52,,42.674152,-73.722748,USA,N,1.1039,0.8536,River,Filtered through 0.8um and posoned with HgCL21,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,19000,large,100000,21364,473.339,18,401,59,63,1120,127,25,21,88,10,3,0,0,0,13,38,49,75,30,747,3,112,11,90,930,93,4,0,0,10,3,0,0,0,17,41,42,17,0,73,100,406,16,4,5,3,642
519,3106,"Raymond, P.A., Bauer, J.E., Caraco, N.F., Cole, J.J., Longworth, B., and Petsch, S.T. (2004). Controls on the variability of organic matter and dissolved inorganic carbon ages in northeast US rivers. Marine Chemistry, 92(1-4): 353-366.",https://doi.org/10.1016/j.marchem.2004.06.036,Tidal Hudson Above Albany,01/10/1998,-31.048596,4,1998,River,Hudson River,DIC,-11.2,0.1,permil,NA,NA,,Arizona_AMS,,0.9362,0.006,fraction modern,-69,3,permil,530,52,,42.674152,-73.722748,USA,N,1.1039,0.8481,River,Filtered through 0.8um and posoned with HgCL22,Assumed uncertainity based on NOSAMS typical standard deviation for 2016,NA,C,B,NA,19000,large,100000,21364,473.339,18,401,59,63,1120,127,25,21,88,10,3,0,0,0,13,38,49,75,30,747,3,112,11,90,930,93,4,0,0,10,3,0,0,0,17,41,42,17,0,73,100,406,16,4,5,3,NA
520,3136,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C1,11/07/2016,129.85,1,2016,River,Yangtze,DIC,-1.4,0.3,permil,NA,NA,,,,0.5494,0.0222,fraction modern,-455,11,permil,4820,325,8.6,34.03,95.82,China,N,1.019,0.5391,River,Filtered through 0.45um then extraction as CO2,,14.2,A,A,NA,100000,large,1000000,114805.5,285.826,6,4784,58,-48,313,56,6,2,0,0,20,0,1,71,16,30,53,65,46,4022,0,18,4258,-21,404,61,2,0,0,0,49,0,0,36,17,38,46,45,0,8240,0,108,540,10,6,3,2846
521,3137,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C2,10/07/2016,130.26,1,2016,River,Yangtze,DIC,-2,0.3,permil,NA,NA,,,,0.5715,0.0222,fraction modern,-433,11,permil,4490,312,8.57,33.01,97.25,China,N,1.019,0.5609,River,Filtered through 0.45um then extraction as CO2,,16,A,A,NA,200000,large,1000000,139776.8,427.456,5,4754,77,-45,337,59,7,2,0,0,28,0,1,68,16,30,52,66,40,4934,0,26,4087,15,487,60,2,0,0,0,75,0,0,16,19,33,48,53,100,6385,0,119,578,10,6,5,2766
522,3138,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C3,14/07/2016,130.21,1,2016,River,Yangtze,DIC,-2.8,0.8,permil,NA,NA,,,,0.6028,0.0746,fraction modern,-402,37,permil,4070,999,8.61,31.63,98.58,China,N,1.019,0.5915,River,Filtered through 0.45um then extraction as CO2,,17,A,A,NA,300000,large,1000000,148817.8,525.24,4,4728,87,-42,349,60,7,1,1,0,32,0,1,65,16,30,52,67,38,5064,0,29,3567,57,574,57,3,0,49,0,80,1,0,0,20,39,41,55,0,4850,0,148,1016,5,6,3,2687
523,3139,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C4,14/10/2016,127.09,1,2016,River,Yangtze,DIC,-3,0.8,permil,NA,NA,,,,0.6512,0.0746,fraction modern,-354,37,permil,3450,924,7.82,27.01,100.08,China,N,1.019,0.639,River,Filtered through 0.45um then extraction as CO2,,17,A,A,NA,400000,large,1000000,214272.9,1097.424,3,4512,128,-19,436,65,7,1,14,0,40,0,1,47,17,31,51,68,38,5033,0,45,2166,145,972,80,1,0,7,4,11,5,0,0,21,34,46,41,100,5975,0,122,722,5,6,2,2375
524,3140,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C5,15/10/2016,127.46,1,2016,River,Yangtze,DIC,-4.6,0.8,permil,NA,NA,,,,0.6955,0.0746,fraction modern,-310,37,permil,2920,865,7.58,27.01,100.45,China,N,1.019,0.6825,River,Filtered through 0.45um then extraction as CO2,,17.1,A,A,NA,500000,large,1000000,235678.9,1432.215,3,4434,135,-12,470,67,7,1,18,1,40,0,1,43,17,31,51,69,40,5043,0,48,2152,147,949,78,1,0,32,10,17,0,0,0,22,38,40,49,100,16112,0,123,602,5,6,6,2022
525,3141,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C6,15/10/2016,133.41,1,2016,River,Yangtze,DIC,-6.4,0.6,permil,NA,NA,,,,0.7822,0.0403,fraction modern,-224,20,permil,1980,415,7.51,28.76,104.65,China,N,1.019,0.7676,River,Filtered through 0.45um then extraction as CO2,,17,A,A,NA,600000,large,1000000,606756.5,7354.967,2,3540,170,42,726,84,6,0,30,6,51,2,0,20,19,33,47,59,39,6817,2,82,313,185,1158,103,0,0,0,57,11,20,0,0,24,41,35,9,0,5162,96,383,297,4,6,3,1844
526,3142,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C7,26/03/2016,136.15,1,2016,River,Yangtze,DIC,-6.3,0.6,permil,NA,NA,,,,0.7832,0.0403,fraction modern,-223,20,permil,1960,414,8.11,29.57,106.58,China,N,1.019,0.7686,River,Filtered through 0.45um then extraction as CO2,,17,A,A,NA,700000,large,1000000,680016.5,8538.196,2,3235,162,55,762,86,6,0,29,11,47,3,0,18,20,34,46,54,39,8274,3,89,350,184,1097,101,0,0,26,52,1,20,0,0,25,38,37,13,0,2153,100,336,259,4,6,6,2190
527,3143,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C8,28/03/2016,140.49,1,2016,River,Yangtze,DIC,-7.2,0.6,permil,NA,NA,,,,0.8125,0.0403,fraction modern,-194,20,permil,1670,399,8.12,31.01,109.48,China,N,1.019,0.7973,River,Filtered through 0.45um then extraction as CO2,,16.5,A,A,NA,800000,large,1000000,959121.3,13371.462,3,2628,160,79,844,90,5,0,33,17,44,4,0,13,21,35,44,46,40,10716,4,101,405,174,1120,99,1,0,18,37,44,11,0,0,23,40,37,21,100,27327,0,170,609,4,6,6,2375
528,3144,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C9,30/03/2016,141.83,1,2016,River,Yangtze,DIC,-7.2,0.6,permil,NA,NA,,,,0.8317,0.0403,fraction modern,-175,20,permil,1480,390,8.3,30.83,111,China,N,1.019,0.8162,River,Filtered through 0.45um then extraction as CO2,,15.5,A,A,NA,900000,large,1000000,976817.9,13721.756,3,2600,161,80,850,91,5,0,33,17,43,4,0,12,21,35,44,46,41,10757,4,101,158,171,1032,88,1,0,0,27,3,0,0,0,24,30,45,22,100,4731,38,164,351,4,6,5,2360
529,3145,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C10,30/03/2016,141.92,1,2016,River,Yangtze,DIC,-7.7,0.6,permil,NA,NA,,,,0.8214,0.0403,fraction modern,-185,20,permil,1580,395,8.08,30.84,111.08,China,N,1.019,0.8061,River,Filtered through 0.45um then extraction as CO2,,14,A,A,NA,1000000,large,1000000,977502.3,13735.552,3,2598,161,80,850,91,5,0,33,17,43,4,0,12,21,35,44,46,42,10754,4,101,299,163,1091,97,3,0,37,32,1,1,0,0,24,30,46,22,100,8787,5,129,1024,4,6,6,2427
530,3146,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C11,29/03/2016,141.97,1,2016,River,Yangtze,DIC,-7.7,0.6,permil,NA,NA,,,,0.8266,0.0403,fraction modern,-179,20,permil,1530,392,8.09,30.69,111.28,China,N,1.019,0.8111,River,Filtered through 0.45um then extraction as CO2,,14.5,A,A,NA,1100000,large,1000000,980372.4,13786.263,3,2593,161,80,851,91,5,0,33,17,43,4,0,12,21,35,44,46,42,10734,4,101,58,175,1136,98,0,0,0,14,0,1,0,0,22,31,47,11,24,3811,77,430,137,1,6,6,2359
531,3147,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C12,01/04/2016,142.64,1,2016,River,Yangtze,DIC,-10.2,0.6,permil,NA,NA,,,,0.8819,0.0222,fraction modern,-125,11,permil,1010,202,7.8,29.47,113.17,China,N,1.019,0.8654,River,Filtered through 0.45um then extraction as CO2,,16.8,A,A,NA,1200000,large,1000000,1271775,20571.904,4,2102,148,99,976,99,4,1,38,18,36,6,0,9,21,36,42,40,42,9748,5,108,25,170,1300,126,0,0,0,60,3,3,0,0,25,39,36,19,0,1178,90,260,48,4,7,3,1483
532,3148,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C13,02/04/2016,144.89,1,2016,River,Yangtze,DIC,-9.2,0.6,permil,NA,NA,,,,0.8591,0.0222,fraction modern,-148,11,permil,1220,208,7.94,30.58,114.31,China,N,1.019,0.8431,River,Filtered through 0.45um then extraction as CO2,,16.8,A,A,NA,1300000,large,1000000,1293974,21791.426,5,2067,146,100,981,100,4,1,37,18,36,6,0,9,21,36,42,40,42,9673,5,109,26,172,1240,109,0,58,0,0,0,3,0,0,19,38,42,16,0,210,100,393,65,4,7,1,1893
533,3149,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C14,01/04/2016,145.96,1,2016,River,Yangtze,DIC,-8.8,0.6,permil,NA,NA,,,,0.8559,0.0222,fraction modern,-150,11,permil,1250,208,7.17,29.75,116.21,China,N,1.019,0.8399,River,Filtered through 0.45um then extraction as CO2,,14.2,A,A,NA,1400000,large,1000000,1493199,22722.322,6,1871,142,106,982,99,4,2,38,19,33,7,0,8,22,37,41,38,40,9626,5,113,13,174,1450,129,1,8,17,29,12,21,0,0,23,40,37,23,0,1208,10,145,7,4,7,3,1871
534,3150,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C15,30/03/2016,148.3,1,2016,River,Yangtze,DIC,-8.6,0.2,permil,NA,NA,,,,0.8453,0.0161,fraction modern,-161,8,permil,1350,154,7.07,30.74,117.56,China,N,1.019,0.8295,River,Filtered through 0.45um then extraction as CO2,,14,A,A,NA,1500000,large,1000000,1678898,28606.018,9,1690,135,113,1046,103,3,2,39,20,31,7,0,7,22,37,41,37,36,9093,6,114,6,167,1310,121,2,48,6,23,0,26,0,0,23,40,37,13,0,3006,0,150,22,4,7,1,1487
535,3151,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C16,29/03/2016,150.92,1,2016,River,Yangtze,DIC,-8.5,0.2,permil,NA,NA,,,,0.8634,0.0161,fraction modern,-143,8,permil,1180,150,7.72,32.13,118.79,China,N,1.019,0.8473,River,Filtered through 0.45um then extraction as CO2,,14,A,A,NA,1600000,large,1000000,1721784,29556.611,9,1651,133,115,1050,103,3,2,39,20,30,8,0,7,22,37,41,37,36,9062,6,115,9,156,986,89,0,20,3,2,0,13,0,0,23,48,29,16,0,754,76,355,52,4,7,1,1682
536,3152,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,C17,29/03/2016,152.7,1,2016,River,Yangtze,DIC,-8.2,0.2,permil,NA,NA,,,,0.8559,0.0161,fraction modern,-151,8,permil,1250,152,7.9,31.23,121.47,China,N,1.019,0.8399,River,Filtered through 0.45um then extraction as CO2,assuming sample taken in 2016 for fm uncertainty calculation,14.2,A,A,NA,1808500,large,100000,26019.5,367.518,128,46,26,158,1131,107,2,6,20,53,1,35,0,0,21,40,37,20,6,4106,45,215,8,161,1060,104,1,0,0,0,0,26,0,0,20,37,43,19,0,8,100,363,7,4,7,1,NA
537,3154,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,H2,30/05/2015,137.47,1,2015,River,Yellow,DIC,-6.5,2.2,permil,NA,NA,,,,0.7748,0.0403,fraction modern,-231,20,permil,2050,419,7.71,36.04,101.43,China,N,1.0235,0.757,River,Filtered through 0.45um then extraction as CO2,,9.5,A,A,NA,200000,large,1000000,137103.8,558.901,14,4039,96,-15,503,74,6,3,4,1,81,1,0,24,18,33,48,62,7,3742,0,79,2329,65,383,38,0,0,0,6,72,43,0,0,20,41,39,25,0,468,12,156,226,10,3,5,2715
538,3155,"Shan, S., Luo, C., Qi, Y., Cai, W., Sun, S., Fan, D. and Wang, X. (2021). Carbon Isotopic and Lithologic Constraints on the Sources and Cycling of Inorganic Carbon in Four Large Rivers in China: Yangtze, Yellow, Pearl, and Heilongjiang. Journal of Geophysical Research: Biogeosciences, 126(2): e2020JG005901. ",https://doi.org/10.1029/2020JG005901,H3,30/05/2015,139.89,1,2015,River,Yellow,DIC,-7,2.2,permil,NA,NA,,,,0.8143,0.0403,fraction modern,-192,20,permil,1650,398,7.81,36.06,103.83,China,N,1.0235,0.7956,River,Filtered through 0.45um then extraction as CO2,,16.2,A,A,NA,300000,large,1000000,224942.7,759.049,9,3644,113,-1,501,71,5,2,10,6,79,2,0,17,18,35,47,59,11,3376,1,98,1566,97,325,30,0,0,0,11,58,13,0,0,20,36,44,19,100,692,73,340,266,10,3,1,2843
